Code commune,Libelle de la commune,Population totale,APL aux medecins generalistes,APL aux medecins generalistes de 65 ans et moins,APL aux medecins generalistes de 62 ans et moins,Population standardisee par la consommation de soins par tranche d age
33413,Saint Germain du Puch,2231,"4,943","4,624","4,208","2250,299"
33414,Saint Germain de la Riviere,390,"2,892","2,495","2,215","386,844"
33415,Saint Gervais,1905,"3,938","3,605","3,222","1834,856"
33416,Saint Girons d Aiguevives,927,"4,284","3,633","3,384","956,517"
33417,Sainte Helene,2838,"2,964","2,947","2,947","2707,369"
33418,Saint Hilaire de la Noaille,375,"3,347","2,833","2,353","382,296"
33419,Saint Hilaire du Bois,79,"3,909","3,63","3,167","83,956"
33420,Saint Hippolyte,130,"4,584","4,022","3,611","128,036"
33421,Saint Jean de Blaignac,463,"4,882","4,499","4,033","459,411"
33422,Saint Jean d Illac,8980,"2,533","2,216","2,018","8461,648"
33423,Saint Julien Beychevelle,611,"4,828","4,734","4,237","602,683"
33424,Saint Laurent Medoc,4860,"4,246","4,152","3,809","4789,007"
33425,Saint Laurent d Arce,1484,"4,177","3,79","3,406","1445,342"
33426,Saint Laurent des Combes,252,"4,681","4,119","3,708","271,104"
33427,Saint Laurent du Bois,247,"4,051","3,82","3,412","237,086"
33428,Saint Laurent du Plan,84,"4,059","3,688","3,227","90,044"
33429,Saint Leger de Balson,326,"2,943","2,943","2,345","327,372"
33431,Saint Leon,341,"3,716","3,461","3,293","328,643"
33432,Saint Loubert,236,"4,82","4,402","3,992","218,371"
33433,Saint Loubes,9909,"4,024","3,83","3,387","9639,301"
33434,Saint Louis de Montferrand,2161,"2,538","2,309","1,933","2094,647"
33435,Saint Macaire,2078,"5,776","5,284","4,869","2086,61"
33436,Saint Magne,1042,"4,784","4,387","3,913","1038,496"
33437,Saint Magne de Castillon,2029,"3,449","3,089","2,731","2186,42"
33438,Saint Maixant,1994,"5,781","5,465","5,17","1974,602"
33439,Saint Mariens,1624,"4,093","3,611","3,064","1577,82"
33440,Saint Martial,239,"4,439","4,075","3,735","238,017"
